Modelo;R2;MAE;RMSE;MSE;JS Divergence (0=Perfecto);KL Divergence;DME (Error Consenso)
SVR;0,0904;0,1954;0,2803;0,0785;0,3051;2,5472;0,0499
Lasso;0,1487;0,2023;0,2711;0,0735;0,3858;3,8979;0,009
GaussianProcess;0,1388;0,2037;0,2727;0,0744;0,3831;3,8888;0,0085
XGBoost;0,0927;0,2158;0,2799;0,0783;0,4839;7,6784;0,02
RandomForest;0,0555;0,2177;0,2856;0,0816;0,2871;2,5104;0,0292
LinearRegression;0,0037;0,2227;0,2933;0,086;0,2658;2,4702;0,0082
